timestamp,x,y,z,w
278603384639,-0.575928,0.144592,-0.129028,0.794189
278603412936,-0.575928,0.144287,-0.128723,0.794312
278603427806,-0.575867,0.144104,-0.12854,0.794373
278603460088,-0.575928,0.144104,-0.12854,0.794373
278603465404,-0.576172,0.144043,-0.128601,0.794189
278603495388,-0.576538,0.144104,-0.128662,0.793884
278603504695,-0.576538,0.144104,-0.128662,0.793884
278603532714,-0.576538,0.144165,-0.128601,0.793884
278603549343,-0.576599,0.144165,-0.128601,0.793884
278603579899,-0.576599,0.144104,-0.128662,0.793884
278603585439,-0.576721,0.144165,-0.128723,0.793701
278603615397,-0.576904,0.144104,-0.128723,0.79364
278603624218,-0.576904,0.144104,-0.128723,0.79364
278603652904,-0.576904,0.144104,-0.128723,0.79364
278603669303,-0.576782,0.144226,-0.128601,0.793701
278603691678,-0.576782,0.144226,-0.12854,0.793701
278603705481,-0.576782,0.144226,-0.12854,0.793701
278603735310,-0.576782,0.144226,-0.12854,0.793701
278603743519,-0.576782,0.144226,-0.128601,0.793701
278603772918,-0.576782,0.144226,-0.128601,0.793701
278603787886,-0.576782,0.144226,-0.128601,0.793701
278603811813,-0.576782,0.144226,-0.128601,0.793701
278603826702,-0.576782,0.144165,-0.128601,0.793701
278603856904,-0.576782,0.144165,-0.128601,0.793701
278603870427,-0.576782,0.144226,-0.128601,0.793701
278603893001,-0.576782,0.144165,-0.128601,0.793701
278603909306,-0.576782,0.144226,-0.128601,0.793701
278603932329,-0.576782,0.144226,-0.128601,0.793701
278603946714,-0.576782,0.144226,-0.128601,0.793701
278603969236,-0.57666,0.144165,-0.128723,0.793823
278603990317,-0.576416,0.144043,-0.128906,0.793945
278604012748,-0.576416,0.144043,-0.128906,0.793945
278604027769,-0.576416,0.144043,-0.128845,0.793945
278604051716,-0.576416,0.144043,-0.128845,0.793945
278604066784,-0.576416,0.144043,-0.128845,0.793945
278604089217,-0.576599,0.144165,-0.128662,0.793884
278604103690,-0.576538,0.144287,-0.128479,0.793884
278604134236,-0.576599,0.14447,-0.128357,0.793884
278604147910,-0.576538,0.144592,-0.128296,0.793823
